0,Max Holloway
1,Alexander Volkanovski
2,Brian Ortega
3,Jose Aldo
4,Frankie Edgar
5,Zabit Magomedsharipov
6,Chan Sung Jung
7,Yair Rodriguez
8,Jeremy Stephens
9,Josh Emmett
10,Renato Moicano
11,Calvin Kattar
12,Arnold Allen
13,Shane Burgos
14,Ryan Hall
15,Mirsad Bektic
