0,Khabib Nurmagomedov
1,Dustin Poirier
2,Tony Ferguson
3,Conor McGregor
4,Donald Cerrone
5,Justin Gaethje
6,Al Iaquinta
7,Edson Barboza
8,Kevin Lee
9,Anthony Pettis
10,Paul Felder
11,Charles Oliveira
12,Gregor Gillespie
13,Alexander Hernandez
14,Dan Hooker
15,Islam Makhachev
